"","year","admin","region","status","ptcp_rate","cspt_ntd","ctgp_per1wp","training_hr","pct_budget","pctc_per1wp"
"117",2012,"宜蘭縣","northern","county",0.00301,1.78,0.0887,142,2.07,0.626
"118",2012,"新竹縣","northern","county",0.00504,26.54,0.0782,NA,1.2,1.794
"119",2012,"苗栗縣","central","county",0.01872,6.72,0.0745,20,2.37,1.383
"120",2012,"彰化縣","central","county",0.01655,6.32,0.1154,1374,1.47,1.823
"121",2012,"南投縣","central","county",0.01157,8.01,0.2826,1475,0.7,2.48
"122",2012,"雲林縣","central","county",0.00164,5.36,0.2307,938,1.02,1.322
"123",2012,"嘉義縣","southern","county",0.00306,4.05,0.1967,76,1.6,2.23
"124",2012,"屏東縣","southern","county",0.00512,5.16,0.1549,1293,0.88,2.062
"125",2012,"台東縣","eastern","county",0.00997,23.68,0.3845,776,0.97,5.834
"126",2012,"花蓮縣","eastern","county",0.00463,18.51,0.364,583,0.67,2.685
"127",2012,"澎湖縣","offshore","county",0.00338,5.97,NA,1301,2.25,2.327
"128",2012,"基隆市","northern","city",0.00316,6.26,0.3739,1135,0.98,2.864
"129",2012,"新竹市","northern","city",0.00586,26.43,0.3835,1056,1.41,5.881
"130",2012,"嘉義市","southern","city",0.00615,11.73,0.2138,1244,1.73,4.424
"131",2012,"金門縣","offshore","county",0.00138,3.3,0.221,180,2.5,2.033
"132",2012,"連江縣","offshore","county",0.00557,4.91,NA,37,3.2,NA
